horizon_minutes,result_type,cost_bps,capacity_quote,event_count,mean_net_return,median_net_return,win_rate,t_stat
5,bootstrap_draw,8,10000,8937,-0.0010685245655818333,,,
5,bootstrap_draw,8,10000,8937,-0.001055872017849053,,,
5,bootstrap_draw,8,10000,8937,-0.0010567119620645137,,,
5,bootstrap_draw,8,10000,8937,-0.001054374266600194,,,
5,bootstrap_draw,8,10000,8937,-0.0010574250048897532,,,
5,bootstrap_draw,8,10000,8937,-0.0010692053017082126,,,
5,bootstrap_draw,8,10000,8937,-0.0010622949917160425,,,
5,bootstrap_draw,8,10000,8937,-0.0010575175931379966,,,
5,bootstrap_draw,8,10000,8937,-0.0010659042094985267,,,
5,bootstrap_draw,8,10000,8937,-0.001062198134293331,,,
5,bootstrap_draw,8,10000,8937,-0.00105271527726854,,,
5,bootstrap_draw,8,10000,8937,-0.0010696276181154608,,,
5,bootstrap_draw,8,10000,8937,-0.001059394115598139,,,
5,bootstrap_draw,8,10000,8937,-0.0010639225085281726,,,
5,bootstrap_draw,8,10000,8937,-0.0010779211405421865,,,
5,bootstrap_draw,8,10000,8937,-0.0010586951643632519,,,
5,bootstrap_draw,8,10000,8937,-0.0010635806763466837,,,
5,bootstrap_draw,8,10000,8937,-0.0010597356925203093,,,
5,bootstrap_draw,8,10000,8937,-0.0010612207698934282,,,
5,bootstrap_draw,8,10000,8937,-0.0010728432736316058,,,
5,bootstrap_draw,8,10000,8937,-0.00105685876397584,,,
5,bootstrap_draw,8,10000,8937,-0.0010647518842116076,,,
5,bootstrap_draw,8,10000,8937,-0.0010713827065417197,,,
5,bootstrap_draw,8,10000,8937,-0.0010515280057093413,,,
5,bootstrap_draw,8,10000,8937,-0.0010557300038147143,,,
5,bootstrap_draw,8,10000,8937,-0.0010692638205313948,,,
5,bootstrap_draw,8,10000,8937,-0.0010508826393191843,,,
5,bootstrap_draw,8,10000,8937,-0.0010622733480714769,,,
5,bootstrap_draw,8,10000,8937,-0.0010670147063204774,,,
5,bootstrap_draw,8,10000,8937,-0.0010545559917759348,,,
5,bootstrap_draw,8,10000,8937,-0.0010669859882220102,,,
5,bootstrap_draw,8,10000,8937,-0.001057138390773077,,,
5,bootstrap_draw,8,10000,8937,-0.0010629253290946265,,,
5,bootstrap_draw,8,10000,8937,-0.0010646728449223565,,,
5,bootstrap_draw,8,10000,8937,-0.0010600395197113372,,,
5,bootstrap_draw,8,10000,8937,-0.0010588283137233797,,,
5,bootstrap_draw,8,10000,8937,-0.001063132953157134,,,
5,bootstrap_draw,8,10000,8937,-0.001062916836569986,,,
5,bootstrap_draw,8,10000,8937,-0.0010455135252820326,,,
5,bootstrap_draw,8,10000,8937,-0.0010568952815358218,,,
5,bootstrap_draw,8,10000,8937,-0.0010682837393560215,,,
5,bootstrap_draw,8,10000,8937,-0.0010583289336025135,,,
5,bootstrap_draw,8,10000,8937,-0.0010673405515224783,,,
5,bootstrap_draw,8,10000,8937,-0.0010497399906729858,,,
5,bootstrap_draw,8,10000,8937,-0.001058651798754021,,,
5,bootstrap_draw,8,10000,8937,-0.00104316144211484,,,
5,bootstrap_draw,8,10000,8937,-0.0010654177310389968,,,
5,bootstrap_draw,8,10000,8937,-0.001063802686089182,,,
5,bootstrap_draw,8,10000,8937,-0.0010702011784325773,,,
5,bootstrap_draw,8,10000,8937,-0.0010506325200716126,,,
