draw,beta_binance_to_okx,beta_okx_to_binance,beta_difference_bo_minus_ob
325,-0.019518818137661414,-0.0303021460401838,0.010783327902522385
326,-0.011435441089158643,-0.03370803793099887,0.022272596841840228
327,-0.017163926631752594,-0.035725783458442094,0.0185618568266895
328,-0.003493851059976927,-0.0323856231261873,0.028891772066210374
329,-0.01868353306425215,-0.03262099195883319,0.013937458894581038
330,-0.015439976230206985,-0.03545296723533517,0.020012991005128183
331,-0.010624700042431625,-0.04124525315712441,0.030620553114692788
332,-0.01571475849519161,-0.036802145086917405,0.021087386591725796
333,-0.009402267003292664,-0.044510083506963775,0.03510781650367111
334,-0.014380324587507397,-0.036464907918226305,0.02208458333071891
335,-0.0022095702040055803,-0.043251336424911656,0.04104176622090608
336,-0.026749927536722607,-0.021371734053860805,-0.0053781934828618025
337,-0.012845911733342374,-0.052080937261999,0.039235025528656625
338,-0.023960001986603714,-0.031139685704599993,0.00717968371799628
339,-0.010934978549244176,-0.042435156844812284,0.03150017829556811
340,-0.010339931123892355,-0.047610188498533344,0.037270257374640986
341,-0.02572937224663544,-0.03979619158364711,0.01406681933701167
342,-0.025490726303184778,-0.03372558079644093,0.008234854493256154
343,-0.014648429983022352,-0.046419660078972705,0.031771230095950356
344,-0.01714749083293491,-0.035292302432111476,0.018144811599176566
345,-0.016253344159132904,-0.049845740161962894,0.03359239600282999
346,-0.011766489639258056,-0.038120147152763864,0.02635365751350581
347,-0.008580415353550584,-0.03340813466627682,0.024827719312726232
348,-0.022650282330447358,-0.033829590069096846,0.011179307738649488
349,-0.01657090650385079,-0.032029255174590335,0.015458348670739544
350,-0.011248766734401876,-0.049449235873459424,0.038200469139057544
351,-0.011398611314309276,-0.031660011561474966,0.02026140024716569
352,-0.0020085258738407425,-0.028594988109821307,0.026586462235980563
353,-0.006368798023826823,-0.045814030180985336,0.03944523215715851
354,-0.020946423277106326,-0.021374868077984315,0.000428444800877989
355,-0.006524907576258915,-0.028431463902049696,0.02190655632579078
356,-0.028016566740829467,-0.03442110245738639,0.006404535716556921
357,-0.013796985960926485,-0.05049201191361437,0.03669502595268788
358,-0.011766991434182942,-0.03486760727990036,0.023100615845717418
359,-0.012613035141515194,-0.0386447710003324,0.02603173585881721
360,-0.009947241113066873,-0.03809338761546412,0.028146146502397246
361,-0.002712256048158174,-0.02377602749784508,0.021063771449686904
362,-0.0084307458285697,-0.044562442476988026,0.036131696648418324
363,-0.01648027553792566,-0.03614621539392529,0.01966593985599963
364,-0.0152069481531367,-0.04350361854708043,0.02829667039394373
365,-0.011226839224035796,-0.035126767740619895,0.0238999285165841
366,-0.020995869966028074,-0.038942499942660115,0.01794662997663204
367,-0.005369807632612488,-0.042681110137860134,0.03731130250524765
